Tranche Loss Valuation,Price_{market}[a d] = âˆ«(0 to T) e^{-rt} dð”¼^â„š[L_[a d](t);Ï_a d],Credit Models,Market price of CDO tranche with attachment point a and detachment point d. Integrates discounted expected tranche losses over time.
CDO Protection Leg Valuation,PV(Protection) = N_0 âˆ«_0^T ð”¼[e^{-âˆ«_0^t (r_s + Î»_s) ds}] dEL_t^{(A D)},Credit Models,Present value of protection leg for CDO tranche. Accounts for both interest rate and credit risk through stochastic discounting.
Survival Probability,â„š(Ï„ > T) = ð”¼^â„š[e^{-âˆ«_0^T Î»_s ds}],Credit Models,Probability of survival until time T under risk-neutral measure. Expressed as expectation of exponential integral of hazard rate process.
Joint Default Probability,P(Ï„_i â‰¤ t for all i âˆˆ S) = Î¦_S({Î¦^{-1}(1 - e^{-h_i t})}_{iâˆˆS};{âˆš{Ï_i Ï_j}}_{i jâˆˆS}),Credit Models,Probability of joint default for a set of obligors using Gaussian copula framework. Correlation structure captured through systematic factor.
Tranche Spread Valuation,s_{A D} N_0 (D - A) âˆ«_0^T ð”¼[e^{-âˆ«_0^t r_s ds}] dt = N_0 âˆ«_0^T ð”¼[e^{-âˆ«_0^t r_s ds} dL_t^{(A D)}],Credit Models,Equilibrium condition equating premium leg to protection leg for CDO tranche. Fundamental pricing relationship for synthetic CDOs.
Second Tranche Spread,s^{(2)}_{A^{(2)} D^{(2)}} = ð”¼[âˆ«_0^T e^{-rt} dEL_t^{(2)}]/[âˆ«_0^T e^{-rt} dt N_0^{(2)} (D^{(2)} - A^{(2)})],Credit Models,Pricing formula for second-loss tranche in CDO structure. Similar to first-loss but with different attachment/detachment points.
CDS Par Spread,s = (1-R) âˆ«_0^T P(0 t) Î»(t) e^{-âˆ«_0^t Î»(u)du} dt / âˆ«_0^T P(0 t) e^{-âˆ«_0^t Î»(u)du} dt,Credit Models,Par spread for credit default swap equating premium leg to protection leg. Expresses credit spread in terms of hazard rate and discount factors. Alternative notation: S = (1-R) âˆ« e^{-rt} Q(t) Î»(t) dt / âˆ« e^{-rt} Q(t) dt where Q(t) represents survival probability.
Black-Cox First Passage Model,Ï„ = inf{t â‰¥ 0: V_t â‰¤ K(t)},Credit Models,First passage time model for credit risk where default occurs when asset value hits time-dependent barrier. Extension of Merton model allowing early default.
CSA Discounting (OIS),V(t) = ð”¼^â„š[exp(-âˆ«_t^T c(u) du) Payoff],Credit Models,Post-crisis discounting using collateral rate c(u) instead of LIBOR. Reflects funding costs and credit risk mitigation through collateral.
Expected Shortfall,CVaR_Î± = ð”¼[L|L > VaR_Î±] = Î¼ + Ïƒ/(1-Î±) Ï†(z_Î±),Credit Models,Coherent risk measure representing expected loss beyond VaR threshold. More conservative than VaR for tail risk measurement.
Hazard Rate Process,Î»_t = Î»(t X_t) where X_t is state vector,Credit Models,General specification for hazard rate process in credit models. Allows for time-varying and state-dependent default intensity.
Black-Scholes for Equity as Call,E_t = V_t Î¦(d_1) - D e^{-r(T-t)} Î¦(d_2),Credit Models,Merton model treating equity as call option on firm value. Strike equals debt face value D with maturity matching debt maturity.
