Neural Network Approximation,VÌ‚(S t;Î¸) â‰ˆ V(S t),Numerical Methods,Deep learning approximation for option pricing. Neural network trained to approximate complex pricing functions.
Crank-Nicolson Finite Difference,âˆ‚V/âˆ‚t + (r-q)S âˆ‚V/âˆ‚S + Â½ ÏƒÂ² SÂ² âˆ‚Â²V/âˆ‚SÂ² - rV = 0,Numerical Methods,Partial differential equation for option pricing solved using Crank-Nicolson scheme. Unconditionally stable finite difference method.
Binomial Tree Price (Complete),V_0 = exp(-rT) âˆ‘_{j=0}^n C(n j) p^j (1-p)^{n-j} Payoff(S_0 u^j d^{n-j}),Numerical Methods,Complete binomial tree pricing formula. Sum over all paths weighted by risk-neutral probabilities.
Cholesky Decomposition,Î£ = L Ã— L^T,Numerical Methods,Matrix decomposition for generating correlated random variables. Essential for Monte Carlo simulation of multiple assets.
Crank-Nicolson Scheme,-Î»/2 u_{i+1}^{n+1} + (1+Î»)u_i^{n+1} - Î»/2 u_{i-1}^{n+1} = Î»/2 u_{i+1}^n + (1-Î»)u_i^n + Î»/2 u_{i-1}^n,Numerical Methods,Second-order accurate implicit finite difference scheme. Unconditionally stable for parabolic PDEs in option pricing.
Density from Characteristic Function,f(x) = 1/(2Ï€) âˆ«_{-âˆ}^âˆ e^{-iux} Ï†(u) du,Numerical Methods,Fourier inversion for probability density function. Enables option pricing when characteristic function is known but density is not.
Importance Sampling,VÌ‚_{IS} = (1/N) âˆ‘_{i=1}^N h(X_i) f(X_i)/q(X_i),Numerical Methods,Variance reduction technique for Monte Carlo simulation. Uses different sampling distribution to improve efficiency.
Least-Squares Monte Carlo,V(t_i S_{t_i}) = max(exercise value ğ”¼^â„š[e^{-r(t_{i+1}-t_i)} V(t_{i+1} S_{t_{i+1}})|S_{t_i}]),Numerical Methods,Longstaff-Schwartz algorithm for American option pricing. Uses regression to estimate continuation values.
Longstaff-Schwartz Algorithm,V_j = max(Exercise_j e^{-rÎ”t} ğ”¼[V_{j+1}|S_j]),Numerical Methods,Backward induction algorithm for American options using least-squares regression to estimate continuation values.
Multi-Level Monte Carlo,ğ”¼_P[f] = âˆ‘_{l=0}^L (1/M_l) âˆ‘_{m=1}^{M_l} (Y_l^{(m)} - Y_{l-1}^{(m)}),Numerical Methods,Variance reduction technique using multiple discretization levels. Achieves optimal complexity for SDE simulation.
Sobol Sequence (Quasi-Monte Carlo),D_N^*(x_1 ... x_N) = O((log N)^s/N),Numerical Methods,Low-discrepancy sequence for quasi-Monte Carlo integration. Achieves nearly 1/N convergence rate compared to 1/âˆšN for random sampling.
